,sim_name,method,expected_theta,theta_prom,error,est_theta_list,room.t60,mic_array.d,mic_array.position,source.position
98,"sim_T0.20s_d0.5_s[1.0,6.0,1.0]_m[8.0,5.0,1.0]",PHAT,172.875,175.203,0.00017,"[0.0, 180.0, 173.35, 172.26]",0.2,0.5,"[8, 5, 1]","[1, 6, 1]"
99,"sim_T0.20s_d0.5_s[1.0,6.0,1.0]_m[8.0,5.0,1.0]",SCOT,172.875,175.203,0.00017,"[0.0, 180.0, 173.35, 172.26]",0.2,0.5,"[8, 5, 1]","[1, 6, 1]"
100,"sim_T0.20s_d0.5_s[1.0,6.0,1.0]_m[8.0,5.0,1.0]",ECKART,172.875,156.25,0.00853,"[0.0, 149.04, 158.27, 161.44]",0.2,0.5,"[8, 5, 1]","[1, 6, 1]"
101,"sim_T0.20s_d0.5_s[1.0,6.0,1.0]_m[8.0,5.0,1.0]",HT,172.875,175.203,0.00017,"[0.0, 180.0, 173.35, 172.26]",0.2,0.5,"[8, 5, 1]","[1, 6, 1]"
102,"sim_T0.20s_d0.5_s[1.0,6.0,1.0]_m[5.0,6.0,1.0]",Classic,180.0,180.0,0.0,"[0.0, 180.0, 180.0, 180.0]",0.2,0.5,"[5, 6, 1]","[1, 6, 1]"
103,"sim_T0.20s_d0.5_s[1.0,6.0,1.0]_m[5.0,6.0,1.0]",ROTH,180.0,180.0,0.0,"[0.0, 180.0, 180.0, 180.0]",0.2,0.5,"[5, 6, 1]","[1, 6, 1]"
104,"sim_T0.20s_d0.5_s[1.0,6.0,1.0]_m[5.0,6.0,1.0]",PHAT,180.0,180.0,0.0,"[0.0, 180.0, 180.0, 180.0]",0.2,0.5,"[5, 6, 1]","[1, 6, 1]"
105,"sim_T0.20s_d0.5_s[1.0,6.0,1.0]_m[5.0,6.0,1.0]",SCOT,180.0,180.0,0.0,"[0.0, 180.0, 180.0, 180.0]",0.2,0.5,"[5, 6, 1]","[1, 6, 1]"
106,"sim_T0.20s_d0.5_s[1.0,6.0,1.0]_m[5.0,6.0,1.0]",ECKART,180.0,161.567,0.01049,"[0.0, 152.39, 164.73, 167.58]",0.2,0.5,"[5, 6, 1]","[1, 6, 1]"
107,"sim_T0.20s_d0.5_s[1.0,6.0,1.0]_m[5.0,6.0,1.0]",HT,180.0,180.0,0.0,"[0.0, 180.0, 180.0, 180.0]",0.2,0.5,"[5, 6, 1]","[1, 6, 1]"
108,"sim_T0.20s_d0.5_s[1.0,6.0,1.0]_m[4.0,2.0,1.0]",Classic,135.0,121.953,0.00525,"[0.0, 124.87, 121.92, 119.07]",0.2,0.5,"[4, 2, 1]","[1, 6, 1]"
109,"sim_T0.20s_d0.5_s[1.0,6.0,1.0]_m[4.0,2.0,1.0]",ROTH,135.0,122.557,0.00478,"[0.0, 125.87, 122.41, 119.39]",0.2,0.5,"[4, 2, 1]","[1, 6, 1]"
110,"sim_T0.20s_d0.5_s[1.0,6.0,1.0]_m[4.0,2.0,1.0]",PHAT,135.0,122.223,0.00504,"[0.0, 124.87, 122.41, 119.39]",0.2,0.5,"[4, 2, 1]","[1, 6, 1]"
111,"sim_T0.20s_d0.5_s[1.0,6.0,1.0]_m[4.0,2.0,1.0]",SCOT,135.0,122.223,0.00504,"[0.0, 124.87, 122.41, 119.39]",0.2,0.5,"[4, 2, 1]","[1, 6, 1]"
112,"sim_T0.20s_d0.5_s[1.0,6.0,1.0]_m[4.0,2.0,1.0]",ECKART,135.0,121.047,0.00601,"[0.0, 123.87, 121.44, 117.83]",0.2,0.5,"[4, 2, 1]","[1, 6, 1]"
113,"sim_T0.20s_d0.5_s[1.0,6.0,1.0]_m[4.0,2.0,1.0]",HT,135.0,122.557,0.00478,"[0.0, 125.87, 122.41, 119.39]",0.2,0.5,"[4, 2, 1]","[1, 6, 1]"
114,"sim_T0.20s_d0.5_s[1.0,6.0,1.0]_m[10.0,6.0,1.0]",Classic,180.0,180.0,0.0,"[0.0, 180.0, 180.0, 180.0]",0.2,0.5,"[10, 6, 1]","[1, 6, 1]"
115,"sim_T0.20s_d0.5_s[1.0,6.0,1.0]_m[10.0,6.0,1.0]",ROTH,180.0,180.0,0.0,"[0.0, 180.0, 180.0, 180.0]",0.2,0.5,"[10, 6, 1]","[1, 6, 1]"
116,"sim_T0.20s_d0.5_s[1.0,6.0,1.0]_m[10.0,6.0,1.0]",PHAT,180.0,180.0,0.0,"[0.0, 180.0, 180.0, 180.0]",0.2,0.5,"[10, 6, 1]","[1, 6, 1]"
117,"sim_T0.20s_d0.5_s[1.0,6.0,1.0]_m[10.0,6.0,1.0]",SCOT,180.0,180.0,0.0,"[0.0, 180.0, 180.0, 180.0]",0.2,0.5,"[10, 6, 1]","[1, 6, 1]"
