sim_name,method,expected_theta,theta_prom,error,est_theta_list,room.t60,mic_array.d,mic_array.position,source.position
"sim_T0.20s_d0.1_s[6.0,0.0,1.0]_m[5.0,4.0,1.0]",HT,106.699,104.957,9e-05,"[0.0, 106.61, 104.48, 103.78]",0.2,0.1,"[6, 0, 1]","[5, 4, 1]"
"sim_T0.20s_d0.1_s[6.0,0.0,1.0]_m[7.0,5.0,1.0]",Classic,80.91,80.167,2e-05,"[0.0, 81.78, 79.71, 79.01]",0.2,0.1,"[6, 0, 1]","[7, 5, 1]"
"sim_T0.20s_d0.1_s[6.0,0.0,1.0]_m[7.0,5.0,1.0]",ROTH,80.91,80.167,2e-05,"[0.0, 81.78, 79.71, 79.01]",0.2,0.1,"[6, 0, 1]","[7, 5, 1]"
"sim_T0.20s_d0.1_s[6.0,0.0,1.0]_m[7.0,5.0,1.0]",PHAT,80.91,80.167,2e-05,"[0.0, 81.78, 79.71, 79.01]",0.2,0.1,"[6, 0, 1]","[7, 5, 1]"
"sim_T0.20s_d0.1_s[6.0,0.0,1.0]_m[7.0,5.0,1.0]",SCOT,80.91,80.167,2e-05,"[0.0, 81.78, 79.71, 79.01]",0.2,0.1,"[6, 0, 1]","[7, 5, 1]"
"sim_T0.20s_d0.1_s[6.0,0.0,1.0]_m[7.0,5.0,1.0]",ECKART,80.91,83.153,0.00016,"[0.0, 85.9, 81.78, 81.78]",0.2,0.1,"[6, 0, 1]","[7, 5, 1]"
"sim_T0.20s_d0.1_s[6.0,0.0,1.0]_m[7.0,5.0,1.0]",HT,80.91,80.167,2e-05,"[0.0, 81.78, 79.71, 79.01]",0.2,0.1,"[6, 0, 1]","[7, 5, 1]"
"sim_T0.20s_d0.1_s[6.0,0.0,1.0]_m[7.0,6.0,1.0]",Classic,82.405,83.153,2e-05,"[0.0, 85.9, 81.78, 81.78]",0.2,0.1,"[6, 0, 1]","[7, 6, 1]"
"sim_T0.20s_d0.1_s[6.0,0.0,1.0]_m[7.0,6.0,1.0]",ROTH,82.405,82.693,0.0,"[0.0, 85.9, 81.78, 80.4]",0.2,0.1,"[6, 0, 1]","[7, 6, 1]"
"sim_T0.20s_d0.1_s[6.0,0.0,1.0]_m[7.0,6.0,1.0]",PHAT,82.405,82.693,0.0,"[0.0, 85.9, 81.78, 80.4]",0.2,0.1,"[6, 0, 1]","[7, 6, 1]"
"sim_T0.20s_d0.1_s[6.0,0.0,1.0]_m[7.0,6.0,1.0]",SCOT,82.405,82.693,0.0,"[0.0, 85.9, 81.78, 80.4]",0.2,0.1,"[6, 0, 1]","[7, 6, 1]"
"sim_T0.20s_d0.1_s[6.0,0.0,1.0]_m[7.0,6.0,1.0]",ECKART,82.405,85.443,0.00028,"[0.0, 85.9, 85.9, 84.53]",0.2,0.1,"[6, 0, 1]","[7, 6, 1]"
"sim_T0.20s_d0.1_s[6.0,0.0,1.0]_m[7.0,6.0,1.0]",HT,82.405,82.693,0.0,"[0.0, 85.9, 81.78, 80.4]",0.2,0.1,"[6, 0, 1]","[7, 6, 1]"
"sim_T0.20s_d0.1_s[9.0,7.0,1.0]_m[9.0,8.0,1.0]",Classic,78.69,86.353,0.00181,"[0.0, 90.0, 85.9, 83.16]",0.2,0.1,"[9, 7, 1]","[9, 8, 1]"
"sim_T0.20s_d0.1_s[9.0,7.0,1.0]_m[9.0,8.0,1.0]",ROTH,78.69,86.353,0.00181,"[0.0, 90.0, 85.9, 83.16]",0.2,0.1,"[9, 7, 1]","[9, 8, 1]"
"sim_T0.20s_d0.1_s[9.0,7.0,1.0]_m[9.0,8.0,1.0]",PHAT,78.69,86.353,0.00181,"[0.0, 90.0, 85.9, 83.16]",0.2,0.1,"[9, 7, 1]","[9, 8, 1]"
"sim_T0.20s_d0.1_s[9.0,7.0,1.0]_m[9.0,8.0,1.0]",SCOT,78.69,86.353,0.00181,"[0.0, 90.0, 85.9, 83.16]",0.2,0.1,"[9, 7, 1]","[9, 8, 1]"
"sim_T0.20s_d0.1_s[9.0,7.0,1.0]_m[9.0,8.0,1.0]",ECKART,78.69,83.383,0.00068,"[0.0, 85.9, 83.85, 80.4]",0.2,0.1,"[9, 7, 1]","[9, 8, 1]"
"sim_T0.20s_d0.1_s[9.0,7.0,1.0]_m[9.0,8.0,1.0]",HT,78.69,86.353,0.00181,"[0.0, 90.0, 85.9, 83.16]",0.2,0.1,"[9, 7, 1]","[9, 8, 1]"
"sim_T0.20s_d0.1_s[9.0,7.0,1.0]_m[5.0,5.0,1.0]",Classic,154.537,155.463,3e-05,"[0.0, 158.27, 153.28, 154.84]",0.2,0.1,"[9, 7, 1]","[5, 5, 1]"
"sim_T0.20s_d0.1_s[9.0,7.0,1.0]_m[5.0,5.0,1.0]",ROTH,154.537,157.127,0.00021,"[0.0, 158.27, 158.27, 154.84]",0.2,0.1,"[9, 7, 1]","[5, 5, 1]"
"sim_T0.20s_d0.1_s[9.0,7.0,1.0]_m[5.0,5.0,1.0]",PHAT,154.537,157.127,0.00021,"[0.0, 158.27, 158.27, 154.84]",0.2,0.1,"[9, 7, 1]","[5, 5, 1]"
"sim_T0.20s_d0.1_s[9.0,7.0,1.0]_m[5.0,5.0,1.0]",SCOT,154.537,157.127,0.00021,"[0.0, 158.27, 158.27, 154.84]",0.2,0.1,"[9, 7, 1]","[5, 5, 1]"
"sim_T0.20s_d0.1_s[9.0,7.0,1.0]_m[5.0,5.0,1.0]",ECKART,154.537,136.273,0.0103,"[0.0, 135.61, 135.61, 137.6]",0.2,0.1,"[9, 7, 1]","[5, 5, 1]"
"sim_T0.20s_d0.1_s[9.0,7.0,1.0]_m[5.0,5.0,1.0]",HT,154.537,157.127,0.00021,"[0.0, 158.27, 158.27, 154.84]",0.2,0.1,"[9, 7, 1]","[5, 5, 1]"
"sim_T0.20s_d0.1_s[9.0,7.0,1.0]_m[5.0,4.0,1.0]",Classic,144.462,144.98,1e-05,"[0.0, 149.04, 141.82, 144.08]",0.2,0.1,"[9, 7, 1]","[5, 4, 1]"
"sim_T0.20s_d0.1_s[9.0,7.0,1.0]_m[5.0,4.0,1.0]",ROTH,144.462,146.127,9e-05,"[0.0, 149.04, 145.26, 144.08]",0.2,0.1,"[9, 7, 1]","[5, 4, 1]"
"sim_T0.20s_d0.1_s[9.0,7.0,1.0]_m[5.0,4.0,1.0]",PHAT,144.462,146.127,9e-05,"[0.0, 149.04, 145.26, 144.08]",0.2,0.1,"[9, 7, 1]","[5, 4, 1]"
"sim_T0.20s_d0.1_s[9.0,7.0,1.0]_m[5.0,4.0,1.0]",SCOT,144.462,146.127,9e-05,"[0.0, 149.04, 145.26, 144.08]",0.2,0.1,"[9, 7, 1]","[5, 4, 1]"
"sim_T0.20s_d0.1_s[9.0,7.0,1.0]_m[5.0,4.0,1.0]",ECKART,144.462,132.797,0.0042,"[0.0, 130.03, 132.75, 135.61]",0.2,0.1,"[9, 7, 1]","[5, 4, 1]"
"sim_T0.20s_d0.1_s[9.0,7.0,1.0]_m[5.0,4.0,1.0]",HT,144.462,146.127,9e-05,"[0.0, 149.04, 145.26, 144.08]",0.2,0.1,"[9, 7, 1]","[5, 4, 1]"
"sim_T0.20s_d0.1_s[9.0,7.0,1.0]_m[7.0,5.0,1.0]",Classic,137.726,134.97,0.00023,"[0.0, 135.61, 135.61, 133.69]",0.2,0.1,"[9, 7, 1]","[7, 5, 1]"
"sim_T0.20s_d0.1_s[9.0,7.0,1.0]_m[7.0,5.0,1.0]",ROTH,137.726,137.04,1e-05,"[0.0, 141.82, 135.61, 133.69]",0.2,0.1,"[9, 7, 1]","[7, 5, 1]"
"sim_T0.20s_d0.1_s[9.0,7.0,1.0]_m[7.0,5.0,1.0]",PHAT,137.726,137.04,1e-05,"[0.0, 141.82, 135.61, 133.69]",0.2,0.1,"[9, 7, 1]","[7, 5, 1]"
"sim_T0.20s_d0.1_s[9.0,7.0,1.0]_m[7.0,5.0,1.0]",SCOT,137.726,137.04,1e-05,"[0.0, 141.82, 135.61, 133.69]",0.2,0.1,"[9, 7, 1]","[7, 5, 1]"
"sim_T0.20s_d0.1_s[9.0,7.0,1.0]_m[7.0,5.0,1.0]",ECKART,137.726,118.713,0.01116,"[0.0, 120.01, 117.68, 118.45]",0.2,0.1,"[9, 7, 1]","[7, 5, 1]"
"sim_T0.20s_d0.1_s[9.0,7.0,1.0]_m[7.0,5.0,1.0]",HT,137.726,137.04,1e-05,"[0.0, 141.82, 135.61, 133.69]",0.2,0.1,"[9, 7, 1]","[7, 5, 1]"
"sim_T0.20s_d0.1_s[9.0,7.0,1.0]_m[7.0,6.0,1.0]",Classic,155.556,154.45,4e-05,"[0.0, 158.27, 153.28, 151.8]",0.2,0.1,"[9, 7, 1]","[7, 6, 1]"
"sim_T0.20s_d0.1_s[9.0,7.0,1.0]_m[7.0,6.0,1.0]",ROTH,155.556,157.127,8e-05,"[0.0, 158.27, 158.27, 154.84]",0.2,0.1,"[9, 7, 1]","[7, 6, 1]"
"sim_T0.20s_d0.1_s[9.0,7.0,1.0]_m[7.0,6.0,1.0]",PHAT,155.556,157.127,8e-05,"[0.0, 158.27, 158.27, 154.84]",0.2,0.1,"[9, 7, 1]","[7, 6, 1]"
"sim_T0.20s_d0.1_s[9.0,7.0,1.0]_m[7.0,6.0,1.0]",SCOT,155.556,157.127,8e-05,"[0.0, 158.27, 158.27, 154.84]",0.2,0.1,"[9, 7, 1]","[7, 6, 1]"
"sim_T0.20s_d0.1_s[9.0,7.0,1.0]_m[7.0,6.0,1.0]",ECKART,155.556,135.61,0.01228,"[0.0, 135.61, 135.61, 135.61]",0.2,0.1,"[9, 7, 1]","[7, 6, 1]"
