,sim_name,method,expected_theta,theta_prom,error,est_theta_list,room.t60,mic_array.d,mic_array.n,mic_array.position,source.position
56,"sim_T0.20s_d0.1_n7_s[5.0,2.0,1.0]_m[9.0,5.0,1.0,]",PHAT,39.417,38.615,2e-05,"[0.0, 44.39, 38.18, 38.18, 38.18, 36.84, 35.92]",0.2,0.1,7,"[5, 2, 1]","[9, 5, 1]"
57,"sim_T0.20s_d0.1_n7_s[5.0,2.0,1.0]_m[9.0,5.0,1.0,]",SCOT,39.417,38.615,2e-05,"[0.0, 44.39, 38.18, 38.18, 38.18, 36.84, 35.92]",0.2,0.1,7,"[5, 2, 1]","[9, 5, 1]"
58,"sim_T0.20s_d0.1_n7_s[5.0,2.0,1.0]_m[9.0,5.0,1.0,]",ECKART,39.417,47.818,0.00218,"[0.0, 55.13, 49.97, 48.17, 45.84, 44.39, 43.41]",0.2,0.1,7,"[5, 2, 1]","[9, 5, 1]"
59,"sim_T0.20s_d0.1_n7_s[5.0,2.0,1.0]_m[9.0,5.0,1.0,]",HT,39.417,39.148,0.0,"[0.0, 44.39, 41.38, 38.18, 38.18, 36.84, 35.92]",0.2,0.1,7,"[5, 2, 1]","[9, 5, 1]"
60,"sim_T0.20s_d0.1_n3_s[5.0,2.0,1.0]_m[7.0,5.0,1.0,]",Classic,58.339,58.79,1e-05,"[0.0, 59.99, 57.59]",0.2,0.1,3,"[5, 2, 1]","[7, 5, 1]"
61,"sim_T0.20s_d0.1_n3_s[5.0,2.0,1.0]_m[7.0,5.0,1.0,]",ROTH,58.339,58.79,1e-05,"[0.0, 59.99, 57.59]",0.2,0.1,3,"[5, 2, 1]","[7, 5, 1]"
62,"sim_T0.20s_d0.1_n3_s[5.0,2.0,1.0]_m[7.0,5.0,1.0,]",PHAT,58.339,58.79,1e-05,"[0.0, 59.99, 57.59]",0.2,0.1,3,"[5, 2, 1]","[7, 5, 1]"
63,"sim_T0.20s_d0.1_n3_s[5.0,2.0,1.0]_m[7.0,5.0,1.0,]",SCOT,58.339,58.79,1e-05,"[0.0, 59.99, 57.59]",0.2,0.1,3,"[5, 2, 1]","[7, 5, 1]"
64,"sim_T0.20s_d0.1_n3_s[5.0,2.0,1.0]_m[7.0,5.0,1.0,]",ECKART,58.339,66.84,0.00223,"[0.0, 69.07, 64.61]",0.2,0.1,3,"[5, 2, 1]","[7, 5, 1]"
65,"sim_T0.20s_d0.1_n3_s[5.0,2.0,1.0]_m[7.0,5.0,1.0,]",HT,58.339,58.79,1e-05,"[0.0, 59.99, 57.59]",0.2,0.1,3,"[5, 2, 1]","[7, 5, 1]"
66,"sim_T0.20s_d0.1_n4_s[5.0,2.0,1.0]_m[7.0,5.0,1.0,]",Classic,59.036,58.12,3e-05,"[0.0, 59.99, 57.59, 56.78]",0.2,0.1,4,"[5, 2, 1]","[7, 5, 1]"
67,"sim_T0.20s_d0.1_n4_s[5.0,2.0,1.0]_m[7.0,5.0,1.0,]",ROTH,59.036,58.12,3e-05,"[0.0, 59.99, 57.59, 56.78]",0.2,0.1,4,"[5, 2, 1]","[7, 5, 1]"
68,"sim_T0.20s_d0.1_n4_s[5.0,2.0,1.0]_m[7.0,5.0,1.0,]",PHAT,59.036,58.12,3e-05,"[0.0, 59.99, 57.59, 56.78]",0.2,0.1,4,"[5, 2, 1]","[7, 5, 1]"
69,"sim_T0.20s_d0.1_n4_s[5.0,2.0,1.0]_m[7.0,5.0,1.0,]",SCOT,59.036,58.12,3e-05,"[0.0, 59.99, 57.59, 56.78]",0.2,0.1,4,"[5, 2, 1]","[7, 5, 1]"
70,"sim_T0.20s_d0.1_n4_s[5.0,2.0,1.0]_m[7.0,5.0,1.0,]",ECKART,59.036,65.077,0.00113,"[0.0, 69.07, 64.61, 61.55]",0.2,0.1,4,"[5, 2, 1]","[7, 5, 1]"
71,"sim_T0.20s_d0.1_n4_s[5.0,2.0,1.0]_m[7.0,5.0,1.0,]",HT,59.036,58.12,3e-05,"[0.0, 59.99, 57.59, 56.78]",0.2,0.1,4,"[5, 2, 1]","[7, 5, 1]"
72,"sim_T0.20s_d0.1_n5_s[5.0,2.0,1.0]_m[7.0,5.0,1.0,]",Classic,59.744,57.372,0.00017,"[0.0, 59.99, 57.59, 56.78, 55.13]",0.2,0.1,5,"[5, 2, 1]","[7, 5, 1]"
73,"sim_T0.20s_d0.1_n5_s[5.0,2.0,1.0]_m[7.0,5.0,1.0,]",ROTH,59.744,57.372,0.00017,"[0.0, 59.99, 57.59, 56.78, 55.13]",0.2,0.1,5,"[5, 2, 1]","[7, 5, 1]"
74,"sim_T0.20s_d0.1_n5_s[5.0,2.0,1.0]_m[7.0,5.0,1.0,]",PHAT,59.744,57.372,0.00017,"[0.0, 59.99, 57.59, 56.78, 55.13]",0.2,0.1,5,"[5, 2, 1]","[7, 5, 1]"
75,"sim_T0.20s_d0.1_n5_s[5.0,2.0,1.0]_m[7.0,5.0,1.0,]",SCOT,59.744,57.372,0.00017,"[0.0, 59.99, 57.59, 56.78, 55.13]",0.2,0.1,5,"[5, 2, 1]","[7, 5, 1]"
76,"sim_T0.20s_d0.1_n5_s[5.0,2.0,1.0]_m[7.0,5.0,1.0,]",ECKART,59.744,64.098,0.00058,"[0.0, 69.07, 64.61, 61.55, 61.16]",0.2,0.1,5,"[5, 2, 1]","[7, 5, 1]"
77,"sim_T0.20s_d0.1_n5_s[5.0,2.0,1.0]_m[7.0,5.0,1.0,]",HT,59.744,57.372,0.00017,"[0.0, 59.99, 57.59, 56.78, 55.13]",0.2,0.1,5,"[5, 2, 1]","[7, 5, 1]"
78,"sim_T0.20s_d0.1_n6_s[5.0,2.0,1.0]_m[7.0,5.0,1.0,]",Classic,60.461,56.924,0.00039,"[0.0, 59.99, 57.59, 56.78, 55.13, 55.13]",0.2,0.1,6,"[5, 2, 1]","[7, 5, 1]"
79,"sim_T0.20s_d0.1_n6_s[5.0,2.0,1.0]_m[7.0,5.0,1.0,]",ROTH,60.461,56.724,0.00043,"[0.0, 59.99, 57.59, 56.78, 55.13, 54.13]",0.2,0.1,6,"[5, 2, 1]","[7, 5, 1]"
80,"sim_T0.20s_d0.1_n6_s[5.0,2.0,1.0]_m[7.0,5.0,1.0,]",PHAT,60.461,56.724,0.00043,"[0.0, 59.99, 57.59, 56.78, 55.13, 54.13]",0.2,0.1,6,"[5, 2, 1]","[7, 5, 1]"
81,"sim_T0.20s_d0.1_n6_s[5.0,2.0,1.0]_m[7.0,5.0,1.0,]",SCOT,60.461,56.724,0.00043,"[0.0, 59.99, 57.59, 56.78, 55.13, 54.13]",0.2,0.1,6,"[5, 2, 1]","[7, 5, 1]"
82,"sim_T0.20s_d0.1_n6_s[5.0,2.0,1.0]_m[7.0,5.0,1.0,]",ECKART,60.461,63.086,0.00021,"[0.0, 69.07, 64.61, 61.55, 61.16, 59.04]",0.2,0.1,6,"[5, 2, 1]","[7, 5, 1]"
83,"sim_T0.20s_d0.1_n6_s[5.0,2.0,1.0]_m[7.0,5.0,1.0,]",HT,60.461,56.724,0.00043,"[0.0, 59.99, 57.59, 56.78, 55.13, 54.13]",0.2,0.1,6,"[5, 2, 1]","[7, 5, 1]"
84,"sim_T0.20s_d0.1_n7_s[5.0,2.0,1.0]_m[7.0,5.0,1.0,]",Classic,61.189,56.345,0.00072,"[0.0, 59.99, 57.59, 56.78, 55.13, 55.13, 53.45]",0.2,0.1,7,"[5, 2, 1]","[7, 5, 1]"
85,"sim_T0.20s_d0.1_n7_s[5.0,2.0,1.0]_m[7.0,5.0,1.0,]",ROTH,61.189,56.178,0.00077,"[0.0, 59.99, 57.59, 56.78, 55.13, 54.13, 53.45]",0.2,0.1,7,"[5, 2, 1]","[7, 5, 1]"
86,"sim_T0.20s_d0.1_n7_s[5.0,2.0,1.0]_m[7.0,5.0,1.0,]",PHAT,61.189,56.178,0.00077,"[0.0, 59.99, 57.59, 56.78, 55.13, 54.13, 53.45]",0.2,0.1,7,"[5, 2, 1]","[7, 5, 1]"
